更新时间: 2026-03-17 11:56:01（北京时间）

更新时间,#genre#
2026-03-17 11:56:01,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

其他频道,#genre#
央视频道,#genre#
CCTV-1综合,http://114.243.96.219:8888/rtp/239.3.1.129:8008$北京市联通
CCTV-1综合,http://123.157.31.182:7912/rtp/233.50.201.118:5140$浙江联通
CCTV-1综合,http://115.171.216.58:4000/rtp/225.1.8.1:8008$北京市电信
CCTV-1综合,http://144.255.40.221:7788/rtp/239.21.1.120:5002$山东电信
CCTV-2财经,http://114.243.96.219:8888/rtp/239.3.1.60:8084$北京市联通
CCTV-2财经,http://123.157.31.182:7912/rtp/233.50.201.119:5140$浙江联通
CCTV-2财经,http://115.171.216.58:4000/rtp/225.1.8.2:8084$北京市电信
CCTV-2财经,http://144.255.40.221:7788/rtp/239.21.1.151:5002$山东电信
CCTV-3综艺,http://114.243.96.219:8888/rtp/239.3.1.172:8001$北京市联通
CCTV-3综艺,http://123.157.31.182:7912/rtp/233.50.201.196:5140$浙江联通
CCTV-3综艺,http://115.171.216.58:4000/rtp/225.1.8.88:8000$北京市电信
CCTV-3综艺,http://144.255.40.221:7788/rtp/239.21.2.45:5002$山东电信
CCTV-4中文国际,http://114.243.96.219:8888/rtp/239.3.1.105:8092$北京市联通
CCTV-4美洲,http://123.157.31.182:7912/rtp/233.50.201.4:5140$浙江联通
CCTV-4美洲,http://115.171.216.58:4000/rtp/225.1.8.4:8092$北京市电信
CCTV-4美洲,http://144.255.40.221:7788/rtp/239.21.1.154:5002$山东电信
CCTV-5体育,http://114.243.96.219:8888/rtp/239.3.1.173:8001$北京市联通
CCTV-5体育,http://123.157.31.182:7912/rtp/233.50.201.197:5140$浙江联通
CCTV-5体育,http://115.171.216.58:4000/rtp/225.1.8.89:8000$北京市电信
CCTV-5体育,http://144.255.40.221:7788/rtp/239.21.2.46:5002$山东电信
CCTV-5+体育赛事,http://114.243.96.219:8888/rtp/239.3.1.130:8004$北京市联通
CCTV-5+体育赛事,http://123.157.31.182:7912/rtp/233.50.201.220:5140$浙江联通
CCTV-5+体育赛事,http://115.171.216.58:4000/rtp/225.1.8.20:8004$北京市电信
CCTV-5+体育赛事,http://144.255.40.221:7788/rtp/239.21.1.142:5002$山东电信
CCTV-6电影,http://114.243.96.219:8888/rtp/239.3.1.174:8001$北京市联通
CCTV-6电影,http://123.157.31.182:7912/rtp/233.50.201.198:5140$浙江联通
CCTV-6电影,http://115.171.216.58:4000/rtp/225.1.8.84:8000$北京市电信
CCTV-6电影,http://144.255.40.221:7788/rtp/239.21.2.47:5002$山东电信
CCTV-7国防军事,http://114.243.96.219:8888/rtp/239.3.1.61:8104$北京市联通
CCTV-7国防军事,http://123.157.31.182:7912/rtp/233.50.201.120:5140$浙江联通
CCTV-7国防军事,http://115.171.216.58:4000/rtp/225.1.8.7:8104$北京市电信
CCTV-7国防军事,http://144.255.40.221:7788/rtp/239.21.1.152:5002$山东电信
CCTV-8电视剧,http://114.243.96.219:8888/rtp/239.3.1.175:8001$北京市联通
CCTV-8电视剧,http://123.157.31.182:7912/rtp/233.50.201.199:5140$浙江联通
CCTV-8电视剧,http://115.171.216.58:4000/rtp/225.1.8.85:8000$北京市电信
CCTV-8电视剧,http://144.255.40.221:7788/rtp/239.21.2.48:5002$山东电信
CCTV-9纪录,http://114.243.96.219:8888/rtp/239.3.1.62:8112$北京市联通
CCTV-9纪录,http://123.157.31.182:7912/rtp/233.50.201.121:5140$浙江联通
CCTV-9纪录,http://115.171.216.58:4000/rtp/225.1.8.9:8112$北京市电信
CCTV-9纪录,http://144.255.40.221:7788/rtp/239.21.1.153:5002$山东电信
CCTV-10科教,http://114.243.96.219:8888/rtp/239.3.1.63:8116$北京市联通
CCTV-10科教,http://123.157.31.182:7912/rtp/233.50.201.122:5140$浙江联通
CCTV-10科教,http://115.171.216.58:4000/rtp/225.1.8.10:8116$北京市电信
CCTV-10科教,http://144.255.40.221:7788/rtp/239.21.1.155:5002$山东电信
CCTV-11戏曲,http://114.243.96.219:8888/rtp/239.3.1.152:8120$北京市联通
CCTV-11戏曲,http://123.157.31.182:7912/rtp/233.50.201.11:5140$浙江联通
CCTV-11戏曲,http://115.171.216.58:4000/rtp/225.1.8.73:8120$北京市电信
CCTV-11戏曲,http://144.255.40.221:7788/rtp/239.21.2.2:5002$山东电信
CCTV-12社会与法,http://114.243.96.219:8888/rtp/239.3.1.64:8124$北京市联通
CCTV-12社会与法,http://123.157.31.182:7912/rtp/233.50.201.123:5140$浙江联通
CCTV-12社会与法,http://115.171.216.58:4000/rtp/225.1.8.12:8124$北京市电信
CCTV-12社会与法,http://144.255.40.221:7788/rtp/239.21.1.156:5002$山东电信
CCTV-13新闻,http://114.243.96.219:8888/rtp/239.3.1.124:8128$北京市联通
CCTV-13新闻,http://123.157.31.182:7912/rtp/233.50.201.246:5140$浙江联通
CCTV-13新闻,http://115.171.216.58:4000/rtp/225.1.8.168:8130$北京市电信
CCTV-13新闻,http://144.255.40.221:7788/rtp/239.21.2.3:5002$山东电信
CCTV-14少儿,http://114.243.96.219:8888/rtp/239.3.1.65:8132$北京市联通
CCTV-14少儿,http://123.157.31.182:7912/rtp/233.50.201.124:5140$浙江联通
CCTV-14少儿,http://115.171.216.58:4000/rtp/225.1.8.14:8132$北京市电信
CCTV-14少儿,http://144.255.40.221:7788/rtp/239.21.1.157:5002$山东电信
CCTV-15音乐,http://114.243.96.219:8888/rtp/239.3.1.153:8136$北京市联通
CCTV-15音乐,http://123.157.31.182:7912/rtp/233.50.201.15:5140$浙江联通
CCTV-15音乐,http://115.171.216.58:4000/rtp/225.1.8.74:8136$北京市电信
CCTV-15音乐,http://144.255.40.221:7788/rtp/239.21.2.4:5002$山东电信
CCTV-16奥林匹克,http://114.243.96.219:8888/rtp/239.3.1.184:8001$北京市联通
CCTV-16奥林匹克,http://114.243.96.219:8888/rtp/239.3.1.183:8001$北京市联通
CCTV-16奥林匹克,http://123.157.31.182:7912/rtp/233.50.201.63:5140$浙江联通
CCTV-16奥林匹克,http://123.157.31.182:7912/rtp/233.50.201.192:5140$浙江联通
CCTV-17农业农村,http://114.243.96.219:8888/rtp/239.3.1.151:8144$北京市联通
CCTV-17农业农村,http://123.157.31.182:7912/rtp/233.50.201.35:5140$浙江联通
CCTV-17农业农村,http://115.171.216.58:4000/rtp/225.1.8.17:8144$北京市电信
CCTV-17农业农村,http://144.255.40.221:7788/rtp/239.21.1.186:5002$山东电信
CCTV-4K超高清,http://114.243.96.219:8888/rtp/239.3.1.244:2000$北京市联通
CCTV-4K超高清,http://114.243.96.219:8888/rtp/239.3.1.245:2000$北京市联通
国学频道,http://114.243.96.219:8888/rtp/239.3.1.77:4120$北京市联通

卫视频道,#genre#
湖南卫视,http://114.243.96.219:8888/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://123.157.31.182:7912/rtp/233.50.201.103:5140$浙江联通
湖南卫视,http://115.171.216.58:4000/rtp/225.1.8.41:8012$北京市电信
湖南卫视,http://144.255.40.221:7788/rtp/239.21.1.158:5002$山东电信
浙江卫视,http://114.243.96.219:8888/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://123.157.31.182:7912/rtp/233.50.201.100:5140$浙江联通
浙江卫视,http://115.171.216.58:4000/rtp/225.1.8.46:8036$北京市电信
浙江卫视,http://144.255.40.221:7788/rtp/239.21.1.90:5002$山东电信
江苏卫视,http://114.243.96.219:8888/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://123.157.31.182:7912/rtp/233.50.201.106:5140$浙江联通
江苏卫视,http://115.171.216.58:4000/rtp/225.1.8.44:8028$北京市电信
江苏卫视,http://144.255.40.221:7788/rtp/239.21.1.89:5002$山东电信
东方卫视,http://114.243.96.219:8888/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://123.157.31.182:7912/rtp/233.50.201.125:5140$浙江联通
东方卫视,http://115.171.216.58:4000/rtp/225.1.8.45:8032$北京市电信
东方卫视,http://144.255.40.221:7788/rtp/239.21.1.111:5002$山东电信
深圳卫视,http://114.243.96.219:8888/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://123.157.31.182:7912/rtp/233.50.201.101:5140$浙江联通
深圳卫视,http://115.171.216.58:4000/rtp/225.1.8.43:8020$北京市电信
深圳卫视,http://144.255.40.221:7788/rtp/239.21.1.93:5002$山东电信
北京卫视,http://114.243.96.219:8888/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://123.157.31.182:7912/rtp/233.50.201.107:5140$浙江联通
北京卫视,http://115.171.216.58:4000/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://144.255.40.221:7788/rtp/239.21.1.88:5002$山东电信
广东卫视,http://114.243.96.219:8888/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://123.157.31.182:7912/rtp/233.50.201.102:5140$浙江联通
广东卫视,http://115.171.216.58:4000/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://144.255.40.221:7788/rtp/239.21.1.92:5002$山东电信
广西卫视,http://114.243.96.219:8888/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://123.157.31.182:7912/rtp/233.50.201.49:5140$浙江联通
东南卫视,http://114.243.96.219:8888/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://123.157.31.182:7912/rtp/233.50.201.146:5140$浙江联通
东南卫视,http://115.171.216.58:4000/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://144.255.40.221:7788/rtp/239.21.1.113:5002$山东电信
海南卫视,http://114.243.96.219:8888/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://123.157.31.182:7912/rtp/233.50.201.55:5140$浙江联通
海南卫视,http://144.255.40.221:7788/rtp/239.21.2.14:5002$山东电信
河北卫视,http://114.243.96.219:8888/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://123.157.31.182:7912/rtp/233.50.201.140:5140$浙江联通
河北卫视,http://115.171.216.58:4000/rtp/225.1.8.76:8002$北京市电信
河北卫视,http://144.255.40.221:7788/rtp/239.21.1.168:5002$山东电信
河南卫视,http://114.243.96.219:8888/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://123.157.31.182:7912/rtp/233.50.201.144:5140$浙江联通
河南卫视,http://144.255.40.221:7788/rtp/239.21.2.37:5002$山东电信
湖北卫视,http://114.243.96.219:8888/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://123.157.31.182:7912/rtp/233.50.201.114:5140$浙江联通
湖北卫视,http://115.171.216.58:4000/rtp/225.1.8.47:8044$北京市电信
湖北卫视,http://144.255.40.221:7788/rtp/239.21.1.163:5002$山东电信
江西卫视,http://114.243.96.219:8888/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://123.157.31.182:7912/rtp/233.50.201.145:5140$浙江联通
江西卫视,http://115.171.216.58:4000/rtp/225.1.8.171:8166$北京市电信
江西卫视,http://144.255.40.221:7788/rtp/239.21.1.167:5002$山东电信
四川卫视,http://114.243.96.219:8888/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://123.157.31.182:7912/rtp/233.50.201.139:5140$浙江联通
四川卫视,http://144.255.40.221:7788/rtp/239.21.2.15:5002$山东电信
重庆卫视,http://114.243.96.219:8888/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://123.157.31.182:7912/rtp/233.50.201.143:5140$浙江联通
重庆卫视,http://115.171.216.58:4000/rtp/225.1.8.172:8162$北京市电信
重庆卫视,http://144.255.40.221:7788/rtp/239.21.1.233:5002$山东电信
贵州卫视,http://114.243.96.219:8888/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://123.157.31.182:7912/rtp/233.50.201.142:5140$浙江联通
贵州卫视,http://115.171.216.58:4000/rtp/225.1.8.77:8076$北京市电信
贵州卫视,http://144.255.40.221:7788/rtp/239.21.1.166:5002$山东电信
云南卫视,http://114.243.96.219:8888/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://123.157.31.182:7912/rtp/233.50.201.46:5140$浙江联通
